column_a,graphs,country,data_quality,hdi,per_capita_gdp,region,income_group,total_ecological_footprint_gha_per_capita,total_biocapacity_gha_per_capita,biocapacity_deficit_or_reserve_gha_per_capita,column_l,ecological_poverty_trap,newly_at_risk,emerging_risk_potential,emerging_risk_at_higher_footprint_ef_3_gha,post_ussr_contraction_and_recovery,countries_of_soviet_bloc_contractions,new_independent_countries_since_1960,severe_recession_since_financial_crisis_of_07,significant_wars_including_civil_wars_since_1960,euro_crisis_2008,brics,oecd,opec_countries,league_of_arab_states,four_asian_tigers,originally_low_income_in_1960_rapid_expansion,largest_gdp_contribution_2000_2010,gdp_per_capita_growth_rate_10_fastest_between_1990_2007,total_natural_resources_rents_over_20_of_gdp_in_2012,continuous_rapid_expansion_over_5_avg,continuing_recession,newly_industrialized_country,major_net_exporter_in_fossil_fuel_c_oal_n_atural_gas_o_il,high_fossil_fuel_consuming_efcarbon_40_of_eftotal,inflation_20_highest_in_2015,population_growth_2010_2015_over_2,ef_always_larger_than_biocapacity,biocapacity_always_larger_than_ef,per_capita_ef_gradually_increasing,per_capita_biocapcity_gradually_declining,per_capita_biocapcity_increasing,high_hdi_and_low_ef,high_income_and_high_biocapacity,low_income_and_low_biocapacity,biocapacity_deficit_expanding,biocapacity_reserve_expanding,high_biocapacity_and_low_income,footprint_reductions_without_resource_constraints,low_biocapacity_slow_expansion_and_low_income,from_biocapacity_reserve_to_deficit_between_1961_and_today,city_states,with_dependent_territory,oversea_territory
1,,Afghanistan,,0.479,610.242,,,0.772260062122433,0.504076701345928,-0.268183360776505,,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,0,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false
2,,Albania,,0.762,4413.562,,,2.14163463695358,1.0515470030949,-1.09008763385868,,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0,false,false,false,true,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false
11,,Azerbaijan,,0.758,6122.98,,,2.16958494943736,0.704925148759764,-1.4646598006776,,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,0,true,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false
101,,Lithuania,,0.846,14932.603,,,5.79687370871893,4.99783502234969,-0.79903868636924,,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
102,,Luxembourg,,0.896,107152.906,,,12.2848421209214,1.37581181180298,-10.9090303091184,,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,0,true,false,true,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false
103,,Macedonia TFYR,,0.746,4920.216,,,3.08152714903599,1.61879570618721,-1.46273144284878,,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,true,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false
104,,Madagascar,,0.511,408.661,,,0.976587642865045,2.48543764362326,1.50885000075822,,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
105,,Malawi,,0.473,484.369,,,0.824202781726589,0.662306742787996,-0.161896038938593,,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,false
106,,Malaysia,,0.787,10398.227,,,4.42259409742294,2.3882538126029,-2.03434028482004,,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,n,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false
107,,Mali,,0.438,705.788,,,1.5380893647184,1.51060234104301,-0.0274870236753899,,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
