Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Africa,º Africa,1961,EFConsTotGHA,4159338.77689372,11095229.9376593,59235777.291242,7553043.38379634,75277978.3404388,56617788.4656905,213939156.195721,,null
Africa,º Africa,1962,EFConsTotGHA,4393447.67235403,11459627.5130835,61625569.6003842,7838913.02364177,76346808.3026678,57140366.7047141,218804732.816845,,null
Africa,º Africa,1963,EFConsTotGHA,4544698.73707887,11537015.7952904,65701247.0109805,8149790.01892719,81183155.8993545,58465819.8885784,229581727.35021,,null
Africa,º Africa,1964,EFConsTotGHA,5038243.94866544,16243001.3510526,71633873.4513003,8608541.41620138,88107020.5151642,70995715.3293424,260626396.011726,,null
Africa,º Africa,1965,EFConsTotGHA,5131549.5665582,18588616.0017342,71679484.7838993,9029396.56273981,90501944.6706342,73764695.7829098,268695687.368476,,null
Africa,º Africa,1966,EFConsTotGHA,5554287.13621981,17901083.4273247,74525420.2181987,9964615.07912495,93686685.6293221,76883174.3063683,278515265.796559,,null
Africa,º Africa,1967,EFConsTotGHA,5981259.23020348,18503383.1223363,80710779.6029111,10047577.7863685,95639694.6415399,79818626.3003168,290701320.683676,,null
Africa,º Africa,1968,EFConsTotGHA,6182410.80887225,20557531.7762574,79250842.4800203,10923568.543609,97525816.8018721,82934786.8757769,297374957.286408,,null
Africa,º Africa,1969,EFConsTotGHA,6687592.12121537,23036161.7134091,92045618.2340864,11282951.2147935,101248345.026682,85059933.5415285,319360601.851715,,null
Africa,º Africa,1970,EFConsTotGHA,7105581.60783196,26122954.4246449,97008616.2040815,12386016.3186536,103822119.626607,86434662.0092938,332879950.191113,,null
Africa,º Africa,1971,EFConsTotGHA,7650774.49142356,30372420.0943144,104744214.982219,12984457.1871564,107350799.920652,91469431.9145556,354572098.59032,,null
Africa,º Africa,1972,EFConsTotGHA,7724527.73267146,31037533.5975508,96561634.4130724,15050924.3397473,107252114.932102,93946698.8020563,351573433.8172,,null
