Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Europe,º Europe,1961,BiocapTotGHA,20761068.4589345,0,210598801.894584,107533897.668978,300234882.17442,57123117.0375484,696251767.234465,,null
Europe,º Europe,1962,BiocapTotGHA,22386621.3615759,0,219947555.412745,107282221.731292,301689909.749273,56910051.2784563,708216359.533341,,null
Europe,º Europe,1963,BiocapTotGHA,22983525.8857251,0,225474616.961928,106919495.579508,303091140.627754,56555457.9142484,715024236.969164,,null
Europe,º Europe,1964,BiocapTotGHA,23560326.1728809,0,222189333.696759,106689609.749628,304769793.281788,56319924.8195481,713528987.720603,,null
Europe,º Europe,1965,BiocapTotGHA,24575260.0775487,0,233823392.010085,106308940.648245,307672712.943943,56082187.4223321,728462493.102154,,null
Europe,º Europe,1966,BiocapTotGHA,23984911.2169331,0,227733517.349112,106272848.271603,310644340.830149,56159690.3509304,724795308.018728,,null
Europe,º Europe,1967,BiocapTotGHA,28072382.35681,0,257557545.795792,113104683.01272,315539161.774823,59532403.0722795,773806176.012425,,null
Europe,º Europe,1968,BiocapTotGHA,27438743.0431783,0,252843341.778586,112881454.427934,319055792.853652,59229857.4485397,771449189.551888,,null
Europe,º Europe,1969,BiocapTotGHA,28128604.3404336,0,255361165.269248,112094731.791612,320577570.564938,58796248.6104964,774958320.576728,,null
Europe,º Europe,1970,BiocapTotGHA,27445358.1717542,0,248483867.243279,112327230.353689,321240354.809919,57919859.2319279,767416669.810569,,null
Europe,º Europe,1971,BiocapTotGHA,30755402.1076181,0,269747354.282908,112152957.749903,322839516.283477,57725423.3527139,793220653.776621,,null
Europe,º Europe,1972,BiocapTotGHA,31661931.5315508,0,277215723.784234,112537984.94913,325197807.059932,57593701.8503112,804207149.175157,,null
Europe,º Europe,1973,BiocapTotGHA,31593664.4607748,0,273548350.856907,111848856.321067,327195570.183356,56991412.5089055,801177854.331011,,null
Europe,º Europe,1974,BiocapTotGHA,32923826.9340785,0,282697222.112338,112231106.127805,327105764.544545,56915904.7735073,811873824.492275,,null
Europe,º Europe,1975,BiocapTotGHA,31151454.2124732,0,271648307.47569,112174027.978004,327660060.445062,56669497.1906836,799303347.301914,,null
Europe,º Europe,1976,BiocapTotGHA,29275450.8447869,0,257341101.908864,112032694.56914,328411425.104116,56289325.3139046,783349997.740812,,null
Europe,º Europe,1977,BiocapTotGHA,32128354.8999906,0,270664656.699926,112549570.322351,328837154.962814,56349644.9864099,800529381.871491,,null
Europe,º Europe,1978,BiocapTotGHA,33860036.8887537,0,291158870.960342,112717986.110363,328650439.457006,56270756.5014027,822658089.917868,,null
Europe,º Europe,1979,BiocapTotGHA,34192514.1890102,0,286848012.314401,112909200.95596,329100695.84697,56442455.4209276,819492878.727269,,null
Europe,º Europe,1980,BiocapTotGHA,35859213.6210513,0,299291253.002289,112903722.389836,328154718.868787,56164347.7247536,832373255.606716,,null
Europe,º Europe,1981,BiocapTotGHA,35794319.8812149,0,293540241.430431,113120520.911764,328584728.640408,56007623.473245,827047434.337065,,null
Europe,º Europe,1982,BiocapTotGHA,38880608.0556766,0,314804573.375616,112506100.879079,328965521.631088,55577154.219406,850733958.160866,,null
Europe,º Europe,1983,BiocapTotGHA,36586182.6658553,0,298481257.54013,112226498.815344,329554590.153025,54916907.3907374,831765436.565092,,null
Europe,º Europe,1984,BiocapTotGHA,43621394.2850138,0,357086309.248154,111500587.742316,329433776.162411,54252222.9518443,895894290.389738,,null
Europe,º Europe,1985,BiocapTotGHA,42384245.454744,0,349944265.143129,110916583.36058,329550580.982554,53265242.4651716,886060917.406179,,null
Europe,º Europe,1986,BiocapTotGHA,42324355.5632931,0,342562627.915655,110149538.975151,330120336.151941,52740814.7573022,877897673.363342,,null
Europe,º Europe,1987,BiocapTotGHA,43100105.414137,0,357356759.841331,110024472.21848,330315287.064967,52489640.3961871,893286264.935103,,null
Europe,º Europe,1988,BiocapTotGHA,43601337.7486526,0,357621963.598049,109809058.245885,330781118.227856,52399411.8956028,894212889.716045,,null
Europe,º Europe,1989,BiocapTotGHA,45031657.9843282,0,362741354.922708,109702685.170623,331289779.661319,52546225.6093226,901311703.348302,,null
Europe,º Europe,1990,BiocapTotGHA,44725443.9081052,0,357465029.883553,109910879.557028,332474669.915931,52400767.5356656,896976790.800283,,null
Europe,º Europe,1991,BiocapTotGHA,46414240.0635331,0,368379338.122568,109748812.181708,332948714.360962,52230879.0956306,909721983.8244,,null
Europe,º Europe,1992,BiocapTotGHA,51418770.9494503,0,517165173.935833,296394198.46419,1027935154.96489,108040726.173946,2000954024.48831,,null
Europe,º Europe,1993,BiocapTotGHA,53036097.0884581,0,528286401.942392,296403633.858534,1054831903.59598,108458527.785066,2041016564.27043,,null
