Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
North America,º North America,1961,BiocapTotGHA,7422685.33544977,0,251230256.365538,228593548.283617,828744528.721195,111070424.441299,1427061443.1471,,null
North America,º North America,1962,BiocapTotGHA,7649942.57881618,0,260308971.596086,228058540.282787,828619620.110671,110996563.227633,1435633637.79599,,null
North America,º North America,1963,BiocapTotGHA,8161236.082437,0,280812309.281941,227287463.813982,827389668.319294,109321605.05393,1452972282.55159,,null
North America,º North America,1964,BiocapTotGHA,7785664.5037934,0,258079468.968901,226798776.816749,826793684.05298,109063782.948066,1428521377.29049,,null
North America,º North America,1965,BiocapTotGHA,8825387.66518863,0,288631619.940528,225989557.561303,827184702.672472,108215826.943366,1458847094.78286,,null
North America,º North America,1966,BiocapTotGHA,8895102.50655651,0,289708211.385142,225912833.062132,828146933.737463,108796329.171617,1461459409.86291,,null
North America,º North America,1967,BiocapTotGHA,9496947.58143625,0,295259015.445805,225254806.544736,827686894.355932,108273003.423573,1465970667.35148,,null
North America,º North America,1968,BiocapTotGHA,9623670.62962179,0,308661456.703466,224810233.337492,825032014.875952,105768666.090199,1473896041.63673,,null
North America,º North America,1969,BiocapTotGHA,9556446.53037024,0,318864487.706832,223243427.697542,823194803.645017,101954171.963571,1476813337.54333,,null
North America,º North America,1970,BiocapTotGHA,9126774.17331382,0,298622999.650054,223706462.624369,821895693.886976,101467324.515376,1454819254.85009,,null
North America,º North America,1971,BiocapTotGHA,10500779.1614941,0,341870435.032711,223359388.209711,820261828.061643,100620541.319319,1496612971.78488,,null
North America,º North America,1972,BiocapTotGHA,10299386.6264177,0,328717027.395375,224126193.128536,818817459.70578,101208520.861642,1483168587.71775,,null
North America,º North America,1973,BiocapTotGHA,10992521.8539204,0,345028948.424328,222753751.849678,818395751.999685,100766112.730687,1497937086.8583,,null
North America,º North America,1974,BiocapTotGHA,9832967.7638128,0,303253618.985375,223514153.374528,815655337.454278,101332325.627796,1453588403.20579,,null
North America,º North America,1975,BiocapTotGHA,11447456.3569994,0,351691111.27226,223396992.881381,814365058.683769,101680387.85807,1502581007.05248,,null
North America,º North America,1976,BiocapTotGHA,11494147.6752737,0,350898046.849302,223113783.413251,807906318.308983,101952152.983294,1495364449.2301,,null
North America,º North America,1977,BiocapTotGHA,12351143.7068838,0,373293586.160514,224142270.101098,806439784.127076,102093884.278743,1518320668.37431,,null
North America,º North America,1978,BiocapTotGHA,12533847.8467081,0,378928366.563905,224477377.918243,804142751.048692,100433507.293206,1520515850.67076,,null
North America,º North America,1979,BiocapTotGHA,13731619.7484259,0,406417023.951172,224858866.594239,802097155.922872,100238222.024827,1547342888.24154,,null
North America,º North America,1980,BiocapTotGHA,12637750.571502,0,374111931.884098,224845909.175743,795841219.569009,99866499.6598314,1507303310.86018,,null
North America,º North America,1981,BiocapTotGHA,14797430.5803867,0,434488520.93543,225277366.907352,793839228.453668,99691485.5071927,1568094032.38403,,null
North America,º North America,1982,BiocapTotGHA,15476141.5957726,0,450033216.438621,224053761.092749,792631458.688321,100546532.506476,1582741110.32194,,null
North America,º North America,1983,BiocapTotGHA,11691921.6850214,0,342376856.17713,223496066.954443,791846276.935055,100349247.028514,1469760368.78016,,null
North America,º North America,1984,BiocapTotGHA,14926453.4107813,0,421787954.506138,222050783.366888,790366329.123518,99752515.9019271,1548884036.30925,,null
North America,º North America,1985,BiocapTotGHA,16203393.2948279,0,456205361.957575,220887752.453062,788346782.387919,99282411.5466177,1580925701.64001,,null
North America,º North America,1986,BiocapTotGHA,15367425.8160037,0,437643632.459346,219360201.700994,797084658.160208,98647324.699635,1568103242.83619,,null
North America,º North America,1987,BiocapTotGHA,15177347.2892619,0,421984727.439308,219111516.893742,796050470.783816,97683347.1894247,1550007409.59555,,null
North America,º North America,1988,BiocapTotGHA,12122071.7670364,0,330674028.615518,218682524.312874,797406328.967021,97526964.2519082,1456411917.91436,,null
North America,º North America,1989,BiocapTotGHA,14937674.9496676,0,403830151.85033,218440637.280118,801182047.8718,97452798.4438213,1535843310.39574,,null
North America,º North America,1990,BiocapTotGHA,16698416.1597718,0,448590404.33148,218855195.176981,803620988.025516,97670704.5444603,1585435708.2382,,null
North America,º North America,1991,BiocapTotGHA,15670454.2081622,0,419226407.218087,218525701.897521,804482201.456494,97557999.9637379,1555462764.744,,null
North America,º North America,1992,BiocapTotGHA,17902401.5415765,0,461836555.633003,220539292.482199,815219889.167466,98384484.8200037,1613882623.64425,,null
North America,º North America,1993,BiocapTotGHA,15486454.8201107,0,403182302.574768,220416498.921354,817266033.101821,97823239.2904169,1554174528.70847,,null
North America,º North America,1994,BiocapTotGHA,19186572.6797081,0,484540528.401481,220011438.12864,818275544.371579,97241636.9926026,1639255720.57401,,null
North America,º North America,1995,BiocapTotGHA,16642087.4832738,0,422003128.301527,219372357.940181,818036043.900468,96585530.5883232,1572639148.21378,,null
North America,º North America,1996,BiocapTotGHA,18955757.3972519,0,467081806.911874,219093660.45552,819940707.606694,95984191.113717,1621056123.48506,,null
North America,º North America,1997,BiocapTotGHA,19907722.057573,0,475386890.628812,219031341.503377,819356234.2331,95815509.0521016,1629497697.47497,,null
North America,º North America,1998,BiocapTotGHA,20634431.8285184,0,488219092.072241,219067712.208499,819274074.356786,95953195.9632222,1643148506.42927,,null
North America,º North America,1999,BiocapTotGHA,20774718.4791201,0,486760522.248099,219139947.689643,818401239.195544,96083227.839571,1641159655.45198,,null
North America,º North America,2000,BiocapTotGHA,21287133.0900322,0,490240897.703548,219398804.660371,818309111.065068,96349688.7659578,1645585635.28498,,null
North America,º North America,2001,BiocapTotGHA,20353054.5066117,0,456877965.794392,219744093.408703,817909419.694911,96656221.0587436,1611540754.46336,,null
North America,º North America,2002,BiocapTotGHA,19700024.7610731,0,417555597.56806,219744921.301226,819426144.954525,98187928.7521832,1574614617.33707,,null
North America,º North America,2003,BiocapTotGHA,21449712.1211228,0,469061277.053679,218729450.217328,816594813.700275,96957407.1182491,1622792660.21065,,null
North America,º North America,2004,BiocapTotGHA,24227955.8582443,0,508573602.845629,218343485.250881,815990604.450921,97336107.616229,1664471756.0219,,null
North America,º North America,2005,BiocapTotGHA,23688027.9477971,0,493100735.822732,217302765.824751,815240757.44057,97520805.6083638,1646853092.64421,,null
North America,º North America,2006,BiocapTotGHA,23358910.6868997,0,468385520.764551,216872124.713306,818075144.869236,97842649.050043,1624534350.08403,,null
North America,º North America,2007,BiocapTotGHA,24043391.9362864,0,491225485.690411,216622813.693507,817735219.104309,96999552.613215,1646626463.03773,,null
North America,º North America,2008,BiocapTotGHA,25504527.5763947,0,508117587.139335,225082348.380313,817701908.537451,98782872.0879473,1675189243.72144,,null
North America,º North America,2009,BiocapTotGHA,27404429.1704795,0,522704604.37679,226109734.500712,815401304.131963,99149529.9287556,1690769602.1087,,null
North America,º North America,2010,BiocapTotGHA,26813924.3708355,0,500816207.619018,225463866.336127,817578675.729035,98852243.6633697,1669524917.71839,,null
North America,º North America,2011,BiocapTotGHA,25563189.3225087,0,465167802.42064,224228683.853032,816672400.134805,98239490.2525097,1629871565.9835,,null
North America,º North America,2012,BiocapTotGHA,25768335.351521,0,479263888.05245,224093950.599616,814314302.657919,98622876.1194756,1642063352.78098,,null
North America,º North America,2013,BiocapTotGHA,28431885.9335015,0,525007267.306578,224908647.648098,812398865.191311,98871662.9193572,1689618328.99885,,null
North America,º North America,2014,BiocapTotGHA,28880790.9102084,0,524033759.302227,225501097.404565,809886189.651308,99223120.7270779,1687524957.99538,,null
