Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Oceania,º Oceania,1961,EFConsTotGHA,274847.974093311,31852189.9877091,5677551.84633267,603765.043713341,10879867.3976162,29575577.4624313,78863799.7118959,,null
Oceania,º Oceania,1962,EFConsTotGHA,303634.28857641,33235937.731997,6521483.43305372,639055.470271121,9859710.02004146,28823563.5846741,79383384.5286139,,null
Oceania,º Oceania,1963,EFConsTotGHA,330041.292884453,35588533.4475294,9946718.06196568,657781.042975581,10334946.5766374,29499470.6049202,86357491.0269128,,null
Oceania,º Oceania,1964,EFConsTotGHA,333956.283806847,38301752.7646529,7510118.71541346,640344.053885009,10949987.1728802,29241356.8843075,86977515.8749459,,null
Oceania,º Oceania,1965,EFConsTotGHA,257998.854043552,41166330.6125736,4698194.00609564,716590.314288557,11093770.0161739,30304265.7950435,88237149.5982187,,null
Oceania,º Oceania,1966,EFConsTotGHA,385979.68091066,44786467.7096381,15041361.6209524,749507.107559123,11062093.4713273,26834782.1110496,98860191.7014371,,null
Oceania,º Oceania,1967,EFConsTotGHA,250748.03784016,46850494.5701605,4095891.8339312,757096.700963045,10927373.2526928,28203139.046089,91084743.4416768,,null
Oceania,º Oceania,1968,EFConsTotGHA,442233.002999519,49168371.1735319,16403777.6561018,771756.586345314,11931056.4347442,29753461.6181863,108470656.471908,,null
Oceania,º Oceania,1969,EFConsTotGHA,367809.098950965,50527142.600593,12078773.737476,773516.611406498,11876219.8009468,32336899.161381,107960361.010754,,null
Oceania,º Oceania,1970,EFConsTotGHA,347727.837941765,52155534.835342,7905640.06072356,772756.411262632,12005204.7719321,31809443.6315538,104996307.548756,,null
Oceania,º Oceania,1971,EFConsTotGHA,382803.607777869,51119346.5599774,5644015.57958936,755758.395802297,12447089.2577981,38534365.511149,108883378.912094,,null
Oceania,º Oceania,1972,EFConsTotGHA,305880.39284657,51705967.8832704,385081.091717607,915654.622120254,11825421.1003416,36858829.7178814,101996834.808178,,null
Oceania,º Oceania,1973,EFConsTotGHA,444452.87749878,56372217.7664503,13190136.9574796,918058.56139173,12329168.0211589,32528615.3120394,115782649.496019,,null
Oceania,º Oceania,1974,EFConsTotGHA,413594.789139798,61512614.3390221,12965824.1917254,984003.260886047,13179843.983837,47979321.4476313,137035202.012241,,null
Oceania,º Oceania,1975,EFConsTotGHA,467241.374758835,59393868.200031,10482299.2651474,947191.628326992,13925670.0566529,56517537.1401843,141733807.665102,,null
Oceania,º Oceania,1976,EFConsTotGHA,431115.059038038,59761151.6328807,9188669.62609783,895538.150682464,13067976.9746782,46870278.0418714,130214729.485249,,null
Oceania,º Oceania,1977,EFConsTotGHA,398338.308704999,65331943.2010191,5272106.785786,1067313.68458781,14517251.1748043,32703207.1827892,119290160.337692,,null
Oceania,º Oceania,1978,EFConsTotGHA,607381.103637603,62532349.0088248,16039467.1681412,1053354.81062635,14101086.4454197,35801638.4141124,130135276.950762,,null
Oceania,º Oceania,1979,EFConsTotGHA,592413.62388986,64948550.1641801,18339113.1771612,1128012.88745455,14235159.8567523,27164102.7157093,126407352.425148,,null
Oceania,º Oceania,1980,EFConsTotGHA,436053.345836599,66439829.1112592,272164.543800421,1165116.68720813,15572990.5327566,33527493.0763804,117413647.297241,,null
Oceania,º Oceania,1981,EFConsTotGHA,627105.541263949,65143828.7235903,14978702.5259811,1386869.11326446,15930512.4086778,30544015.9642242,128611034.277002,,null
Oceania,º Oceania,1982,EFConsTotGHA,391211.693323911,65638715.0212114,1943430.65053651,1311455.21952886,14999731.1053177,32288834.6623577,116573378.352276,,null
Oceania,º Oceania,1983,EFConsTotGHA,758856.872236254,61172992.0319695,26528553.5293115,1167322.57975495,13414398.2825433,26683617.1884232,129725740.484239,,null
Oceania,º Oceania,1984,EFConsTotGHA,715944.308656007,61422018.0982238,19423573.7007616,1242734.43920084,15051582.7385846,29889655.1407487,127745508.426175,,null
Oceania,º Oceania,1985,EFConsTotGHA,675565.606228861,63466162.7228919,6864020.10874449,1376366.34064896,16710613.798218,30680414.5229377,119773143.09967,,null
Oceania,º Oceania,1986,EFConsTotGHA,697472.972734539,63389335.3200933,7452514.94273052,1497791.84434772,16678986.776772,25305938.9623482,115022040.819026,,null
Oceania,º Oceania,1987,EFConsTotGHA,614615.477843735,65900429.6666251,6394743.40100738,1712655.43356885,16396051.4906419,17357467.5215014,108375962.991188,,null
Oceania,º Oceania,1988,EFConsTotGHA,648517.365532754,69906075.6046939,12867466.5508372,1807319.99594343,17555058.7736408,17426315.4482977,120210753.738946,,null
Oceania,º Oceania,1989,EFConsTotGHA,667948.357052426,76430534.9724254,15197322.5078254,2142881.28547555,17676778.1673306,25007972.1339626,137123437.424072,,null
Oceania,º Oceania,1990,EFConsTotGHA,673308.706889478,74415155.2993635,13176270.7950792,2815514.76175359,17720090.3437489,30410077.225198,139210417.132032,,null
Oceania,º Oceania,1991,EFConsTotGHA,648374.798419896,71443145.6458689,9638543.92653525,2722708.71218408,16441972.3834221,31045639.0859233,131940384.552353,,null
Oceania,º Oceania,1992,EFConsTotGHA,785469.684809715,72372930.3785609,20909255.0721563,2507914.96960538,16648064.5955014,17705846.2541604,130929480.954794,,null
Oceania,º Oceania,1993,EFConsTotGHA,852575.145019343,73967570.0389203,20741412.4377542,2319496.02325694,18280591.121072,18340688.4274425,134502333.193465,,null
Oceania,º Oceania,1994,EFConsTotGHA,585164.861652686,76252408.9566482,2559807.08413865,2470077.76870706,19052243.0292336,18640244.3147538,119559946.015134,,null
Oceania,º Oceania,1995,EFConsTotGHA,1061719.59542791,78599453.4421042,25543813.9538743,2330959.53072025,20683418.3676535,19366573.6069469,147585938.496728,,null
Oceania,º Oceania,1996,EFConsTotGHA,1453294.79600228,82131814.4262631,22895589.282049,2165725.18904602,19649613.0260955,19112200.2873138,147408237.00677,,null
Oceania,º Oceania,1997,EFConsTotGHA,1213399.49626732,84328736.1878775,12293143.3045676,2289137.78960185,20118722.9759503,15893812.4458314,136136952.200096,,null
Oceania,º Oceania,1998,EFConsTotGHA,1247394.73596451,88212714.0828276,21272556.5133728,2494399.68121363,21617617.5466099,21459214.388167,156303896.948156,,null
Oceania,º Oceania,1999,EFConsTotGHA,1319610.26020199,88984706.4856711,20915876.5135862,3024630.48774212,21184652.3121543,18921379.4173103,154350855.476666,,null
Oceania,º Oceania,2000,EFConsTotGHA,1218674.24797427,91929732.9758189,16757358.7477343,3230445.51489395,24047399.8295451,17299571.1651209,154483182.481087,,null
Oceania,º Oceania,2001,EFConsTotGHA,1184398.67685207,94119448.3472402,20086425.8959756,3118073.49774878,22554411.9872038,17377127.1778032,158439885.582824,,null
Oceania,º Oceania,2002,EFConsTotGHA,1299952.14996095,93780325.0154541,25512073.5431228,3135057.45572316,22409646.5508849,22903436.9965823,169040491.711728,,null
Oceania,º Oceania,2003,EFConsTotGHA,734344.642128215,101910651.18009,9736033.80198688,3301353.22600042,23549250.5631178,27761046.3530576,166992679.766381,,null
Oceania,º Oceania,2004,EFConsTotGHA,1358406.724257,108787765.784927,21449065.2569891,3568806.98865516,24454634.848073,23224808.1554523,182843487.758354,,null
Oceania,º Oceania,2005,EFConsTotGHA,1175959.19821745,112347945.212647,21610833.8130506,3217109.83117869,24613753.8883789,22936975.0571287,185902577.000601,,null
Oceania,º Oceania,2006,EFConsTotGHA,1375151.93851112,117475841.130176,26050595.844895,3234649.79614235,24101876.2631661,19900095.9555957,192138210.928485,,null
Oceania,º Oceania,2007,EFConsTotGHA,766077.42109688,122959995.662851,13078521.9596339,3014362.01227177,24638016.8006696,19465653.4865512,183922627.343074,,null
Oceania,º Oceania,2008,EFConsTotGHA,1049462.87903852,126017075.804364,19112502.3548072,2998942.41034921,26158385.4441806,18831640.3607877,194168009.253527,,null
Oceania,º Oceania,2009,EFConsTotGHA,1269339.56414231,119446909.599677,19965288.0744648,2952598.65698056,22357361.6238976,19955963.8505001,185947461.369661,,null
Oceania,º Oceania,2010,EFConsTotGHA,1437200.85477088,123651618.635558,18441644.1307376,2822882.43747888,23632841.1756201,17031523.2743821,187017710.508548,,null
Oceania,º Oceania,2011,EFConsTotGHA,1495457.34033849,123319063.33514,23964284.6665839,3111204.78485617,23747609.0199864,25512368.3008759,201149987.447781,,null
Oceania,º Oceania,2012,EFConsTotGHA,1669749.24030798,120534504.242267,16947856.1071398,3714152.18726598,21481402.5618092,21742439.5035271,186090103.842318,,null
