Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Asia,º Asia,1961,BiocapTotGHA,50438083.2517962,0,471008138.106321,334905152.176619,652091638.579885,142347175.885321,1650790187.99994,,null
Asia,º Asia,1962,BiocapTotGHA,53884677.2842046,0,496407861.64687,334121328.935417,649362073.151318,143227694.106179,1677003635.12399,,null
Asia,º Asia,1963,BiocapTotGHA,54718751.3772637,0,502503150.219794,332991649.274446,645433840.150499,143665737.696688,1679313128.71869,,null
Asia,º Asia,1964,BiocapTotGHA,58315338.4937984,0,518663585.70944,332275689.465415,644512733.670646,144623423.210262,1698390770.54956,,null
Asia,º Asia,1965,BiocapTotGHA,61966343.7020598,0,529768628.294842,331090128.018363,642419507.771147,145543630.065333,1710788237.85175,,null
Asia,º Asia,1966,BiocapTotGHA,67077556.5526028,0,555884839.248508,330977721.389816,639646771.461118,146898189.951453,1740485078.6035,,null
Asia,º Asia,1967,BiocapTotGHA,70472060.9398774,0,576686520.409547,330013667.624522,638485298.581417,147739232.397354,1763396779.95272,,null
Asia,º Asia,1968,BiocapTotGHA,71957827.0942324,0,583537483.309742,329362337.529058,633734791.516416,148947409.180062,1767539848.62951,,null
Asia,º Asia,1969,BiocapTotGHA,75682208.8150457,0,604694974.367829,327066860.315382,629501280.182385,149480485.473657,1786425809.1543,,null
Asia,º Asia,1970,BiocapTotGHA,82158176.8627173,0,642330402.062809,327745238.090241,626937359.699827,151520083.137586,1830691259.85318,,null
Asia,º Asia,1971,BiocapTotGHA,88353998.5637984,0,682750463.109267,335828591.181324,623819038.008605,153619241.690008,1884371332.553,,null
Asia,º Asia,1972,BiocapTotGHA,88818817.7618129,0,666155891.732216,336985295.588877,620893946.285545,156056841.065823,1868910792.43427,,null
Asia,º Asia,1973,BiocapTotGHA,95553545.5149456,0,699525254.311528,334996863.357074,618512783.857852,157318122.922227,1905906569.96363,,null
Asia,º Asia,1974,BiocapTotGHA,97098597.7596354,0,691981569.714841,336141933.1672,614775632.115461,160139478.902001,1900137211.65914,,null
Asia,º Asia,1975,BiocapTotGHA,103251361.592853,0,732232413.711695,335970642.594288,612560766.496717,162193852.496127,1946209036.89168,,null
Asia,º Asia,1976,BiocapTotGHA,107335788.308799,0,752198570.918168,335544718.924641,609824468.667888,163957986.144034,1968861532.96353,,null
Asia,º Asia,1977,BiocapTotGHA,107586559.386029,0,750278822.756024,337015361.863346,605703486.883282,166963143.362627,1967547374.25131,,null
Asia,º Asia,1978,BiocapTotGHA,119962567.557228,0,813841752.617223,337519222.568457,600972057.10249,169400849.027276,2041696448.87267,,null
Asia,º Asia,1979,BiocapTotGHA,126371608.480196,0,830710938.630272,338180842.896278,599514037.070846,171531308.771489,2066308735.84908,,null
