Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Central America,· Central America,1961,BiocapTotGHA,1042150.23315201,0,18334244.8198866,24618551.7261877,102593659.406105,35246998.789588,181835604.97492,,null
Central America,· Central America,1962,BiocapTotGHA,1117633.8095395,0,18891794.8287962,24560933.6427324,101548193.26056,35187758.8651272,181306314.406756,,null
Central America,· Central America,1963,BiocapTotGHA,1240048.87774558,0,20223113.0983202,24477891.9905307,100367052.897468,35126916.2357855,181435023.09985,,null
Central America,· Central America,1964,BiocapTotGHA,1479400.74878278,0,23612100.3725116,24425262.4819132,99265226.4466062,35161479.7910518,183943469.840865,,null
Central America,· Central America,1965,BiocapTotGHA,1565507.08931319,0,24267939.3208789,24338113.0140142,98280217.0305914,35167776.963681,183619553.418479,,null
Central America,· Central America,1966,BiocapTotGHA,1775219.16548299,0,26528308.4173576,24329850.1121709,97314963.9028659,35314461.1259979,185262802.723875,,null
Central America,· Central America,1967,BiocapTotGHA,1834513.77760674,0,26502470.2510065,24258983.4583333,96235425.0310791,35219009.2315778,184050401.749603,,null
Central America,· Central America,1968,BiocapTotGHA,1995601.20983782,0,27944255.8592113,24211104.8170471,94912716.0011474,35254380.4463903,184318058.333634,,null
Central America,· Central America,1969,BiocapTotGHA,2051181.26926268,0,27636194.5255914,24042366.5215807,93650403.3352251,35100640.8020307,182480786.453691,,null
Central America,· Central America,1970,BiocapTotGHA,2365104.85958987,0,29583315.0750096,24092233.4114501,92498572.8850617,35618789.7367236,184158015.967835,,null
Central America,· Central America,1971,BiocapTotGHA,2406018.78581257,0,29299318.2702505,24054854.9749446,91405044.1897009,35387941.5221366,182553177.742845,,null
Central America,· Central America,1972,BiocapTotGHA,2392017.75728727,0,28321424.7229403,24137436.599403,90340563.5233117,35610628.6581532,180802071.261095,,null
Central America,· Central America,1973,BiocapTotGHA,2649645.41737381,0,30465737.9952576,23989630.5179612,89406495.9450554,35674612.4961941,182186122.371842,,null
Central America,· Central America,1974,BiocapTotGHA,2743077.59942781,0,30715966.1341178,24071522.5241561,88180994.2908285,35882225.6147185,181593786.163249,,null
Central America,· Central America,1975,BiocapTotGHA,2927971.47300339,0,31854516.7686819,24058904.8379508,87151026.6498736,35959196.2137984,181951615.943308,,null
Central America,· Central America,1976,BiocapTotGHA,2806853.77819566,0,29689317.8511622,24033304.7314346,86063101.6583762,36014139.283973,178606717.303142,,null
Central America,· Central America,1977,BiocapTotGHA,3119925.83863008,0,32425970.521199,24144090.9572029,84947771.2148352,36396544.0850893,181034302.616956,,null
Central America,· Central America,1978,BiocapTotGHA,3500756.87070152,0,35597944.9176765,24180188.0022358,83730380.1673243,36759854.5577987,183769124.515737,,null
Central America,· Central America,1979,BiocapTotGHA,3286975.26416577,0,32385998.3234421,24221281.0869459,82225429.0569538,36921282.3211835,179040966.052691,,null
Central America,· Central America,1980,BiocapTotGHA,3692921.29282784,0,36093524.1374176,24219885.3435613,80392085.6006619,36992942.7114482,181391359.085916,,null
Central America,· Central America,1981,BiocapTotGHA,4023030.05769539,0,39080924.2452901,24266360.9802694,79069613.6873993,37101531.9929468,183541460.963601,,null
