Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Central America,· Central America,1961,EFConsTotGHA,1042150.23315201,19419039.6665376,16156895.8613675,687801.706385028,16808894.4733492,31934077.4256006,86048859.3663919,,null
Central America,· Central America,1962,EFConsTotGHA,1117633.8095395,19305458.7497406,16028047.5331351,758071.177686652,17479400.9521913,31445749.4508766,86134361.6731697,,null
Central America,· Central America,1963,EFConsTotGHA,1240048.87774558,20897457.7781411,17668827.2396181,896593.5309979,17883970.3497061,31767220.2562651,90354118.0324738,,null
Central America,· Central America,1964,EFConsTotGHA,1479400.74878278,24126688.4400598,20032283.5105355,930802.230898553,18363239.6324268,33138485.4533475,98070900.0160509,,null
Central America,· Central America,1965,EFConsTotGHA,1565507.08931319,24813980.069063,19795631.5616385,1002652.95837722,18978927.8799185,33222392.9777727,99379092.536083,,null
Central America,· Central America,1966,EFConsTotGHA,1775219.16548299,26716996.7060263,22297111.7588854,1125808.22354754,19153336.7564552,32823177.8271822,103891650.43758,,null
Central America,· Central America,1967,EFConsTotGHA,1834513.77760674,29868780.0105944,21660150.6836525,1316673.96863629,20016791.2929323,33176486.5916313,107873396.325053,,null
Central America,· Central America,1968,EFConsTotGHA,1995601.20983782,31870013.7490795,23686628.612655,1353522.9873111,20322324.7921422,32479509.9050357,111707601.256061,,null
Central America,· Central America,1969,EFConsTotGHA,2051181.26926268,35043233.4550235,23023183.1529229,1343625.02835764,20851558.3137035,31662358.4973388,113975139.716609,,null
Central America,· Central America,1970,EFConsTotGHA,2365104.85958987,40134691.8413759,27235177.6020013,1500295.05798561,22199196.9195853,31541323.9365415,124975790.21708,,null
Central America,· Central America,1971,EFConsTotGHA,2406018.78581257,44490158.102527,26644661.5994012,1835294.40022217,21625089.3741245,31970048.3999884,128971270.662076,,null
Central America,· Central America,1972,EFConsTotGHA,2392017.75728727,50402740.8335891,25421321.0295617,1950450.41956841,22027038.5051324,31157812.6748151,133351381.219954,,null
Central America,· Central America,1973,EFConsTotGHA,2649645.41737381,57974389.0376599,29150945.107449,2606557.75665059,22755107.9481505,31958549.1152746,147095194.382558,,null
Central America,· Central America,1974,EFConsTotGHA,2743077.59942781,61463960.2214625,31654901.727185,2406796.69937334,23964010.9728451,33533607.0124568,155766354.232751,,null
Central America,· Central America,1975,EFConsTotGHA,2927971.47300339,62250471.0977767,32213287.0739729,2983217.31198176,24287204.9352991,33927936.5700846,158590088.462118,,null
Central America,· Central America,1976,EFConsTotGHA,2806853.77819566,66475365.9737698,27109936.0382245,2921773.97619264,24975219.5906822,33127554.649872,157416704.006936,,null
