Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
North America,º North America,1961,EFConsTotGHA,7422685.33544977,1035767246.41006,199970789.600521,30838879.1848463,253757534.889791,131125378.279871,1658882513.70054,,null
North America,º North America,1962,EFConsTotGHA,7649942.57881618,1089669310.97859,214679071.349128,32116469.473932,264456569.68296,133121996.375468,1741693360.43889,,null
North America,º North America,1963,EFConsTotGHA,8161236.082437,1161256319.45325,226304949.246674,32385444.7690157,261393603.06579,132606819.684132,1822108372.3013,,null
North America,º North America,1964,EFConsTotGHA,7785664.5037934,1220405807.93024,190388060.495221,30994077.4653001,274267913.336011,126279951.228638,1850121474.9592,,null
North America,º North America,1965,EFConsTotGHA,8825387.66518863,1294395655.09753,221948275.315188,31345258.4976993,282403003.150868,127195777.717461,1966113357.44394,,null
North America,º North America,1966,EFConsTotGHA,8895102.50655651,1377114025.10223,213529587.484448,32354949.8331741,292644593.159805,130268264.269724,2054806522.35594,,null
North America,º North America,1967,EFConsTotGHA,9496947.58143625,1433023402.7773,235148415.39836,30740161.741661,285592463.335889,126867724.068329,2120869114.90298,,null
North America,º North America,1968,EFConsTotGHA,9623670.62962179,1524566704.83259,256552759.182309,30468937.8086496,289131421.405917,129263317.391172,2239606811.25027,,null
North America,º North America,1969,EFConsTotGHA,9556446.53037024,1590447101.60366,274433352.539417,30324841.9244218,293776179.193549,124568017.010418,2323105938.80184,,null
North America,º North America,1970,EFConsTotGHA,9126774.17331382,1681560291.34795,230826904.958597,31548736.6379204,289896708.832837,124563661.412586,2367523077.3632,,null
North America,º North America,1971,EFConsTotGHA,10500779.1614941,1725126578.49103,272964708.188823,30249995.0567835,300689147.63677,120645263.272094,2460176471.80699,,null
North America,º North America,1972,EFConsTotGHA,10299386.6264177,1829505854.69203,237669909.279734,29756867.1157947,299838006.280184,123480060.104093,2530550084.09825,,null
North America,º North America,1973,EFConsTotGHA,10992521.8539204,1914077852.8019,225954342.493018,29472483.9779798,316706514.290668,121145779.253965,2618349494.67145,,null
North America,º North America,1974,EFConsTotGHA,9832967.7638128,1839527633.08414,205022070.175544,28338963.7776399,306434648.537846,116356096.730669,2505512380.06965,,null
North America,º North America,1975,EFConsTotGHA,11447456.3569994,1748598953.66897,244451000.300713,28485930.3728274,272071147.137734,116927304.48532,2421981792.32257,,null
North America,º North America,1976,EFConsTotGHA,11494147.6752737,1873226138.81731,241892260.033629,31545363.6425243,306868578.315119,121653412.53134,2586679901.01519,,null
North America,º North America,1977,EFConsTotGHA,12351143.7068838,1949778798.12141,255746063.157607,30896667.7565016,314214751.13875,118760224.101804,2681747647.98295,,null
North America,º North America,1978,EFConsTotGHA,12533847.8467081,1934828120.93445,234191759.008203,33923906.0234981,347126155.213177,120416298.547233,2683020087.57327,,null
North America,º North America,1979,EFConsTotGHA,13731619.7484259,1957694030.2535,253065165.446849,37464616.8224415,352369804.188868,119356998.041904,2733682234.50199,,null
North America,º North America,1980,EFConsTotGHA,12637750.571502,1821528883.06868,194221681.539764,37338826.6025173,321138279.82062,116295866.58059,2503161288.18368,,null
North America,º North America,1981,EFConsTotGHA,14797430.5803867,1759615151.31909,250354231.342139,39628020.1126631,313496069.217197,115228637.290172,2493119539.86165,,null
North America,º North America,1982,EFConsTotGHA,15476141.5957726,1653554920.40589,271086463.80332,40145143.5553359,296212296.001719,117178826.172459,2393653791.53448,,null
North America,º North America,1983,EFConsTotGHA,11691921.6850214,1638896983.81658,158004455.436897,41742455.1215289,342496786.19926,117298315.441238,2310130917.70052,,null
North America,º North America,1984,EFConsTotGHA,14926453.4107813,1740589856.92344,243045078.906233,41109799.4130346,375716333.447699,115164002.379007,2530551524.48019,,null
North America,º North America,1985,EFConsTotGHA,16203393.2948279,1766774533.53713,316406805.49606,41317515.6697299,373454991.384495,115944881.515974,2630102120.89822,,null
North America,º North America,1986,EFConsTotGHA,15367425.8160037,1773142271.20037,295182116.718609,41237747.5583153,399287151.727003,116137052.218279,2640353765.23858,,null
North America,º North America,1987,EFConsTotGHA,15177347.2892619,1824344769.14092,247440084.103828,47327337.3274997,411567879.000331,116324938.184648,2662182355.04649,,null
North America,º North America,1988,EFConsTotGHA,12122071.7670364,1920379433.28374,148916996.866062,43556123.2934552,400389549.264699,115709628.015178,2641073802.49018,,null
North America,º North America,1989,EFConsTotGHA,14937674.9496676,1947142534.62179,230581789.28289,47716092.69846,402079995.725646,112783075.801414,2755241163.07987,,null
North America,º North America,1990,EFConsTotGHA,16698416.1597718,1901063747.49493,283891995.647894,47521766.2777974,385711499.688373,115466019.011651,2750353444.28041,,null
North America,º North America,1991,EFConsTotGHA,15670454.2081622,1881688413.06663,240931636.988359,42598946.3866486,356283008.617903,115846462.046765,2653018921.31446,,null
North America,º North America,1992,EFConsTotGHA,17902401.5415765,1942133909.54773,279639543.155848,41068724.0357174,370209511.964713,117819250.972782,2768773341.21836,,null
North America,º North America,1993,EFConsTotGHA,15486454.8201107,1990601689.11099,224197356.32184,42998797.7455155,377073100.00187,118911524.207752,2769268922.20807,,null
North America,º North America,1994,EFConsTotGHA,19186572.6797081,2051524238.12258,303597701.495852,44182771.1478004,384989073.003662,116129034.918013,2919609391.36762,,null
North America,º North America,1995,EFConsTotGHA,16642087.4832738,2059336722.38766,212317623.690728,40261042.9434969,381323985.815819,112222103.911097,2822103566.23208,,null
North America,º North America,1996,EFConsTotGHA,18955757.3972519,2138633708.00039,282018707.819873,39962571.5467223,380816115.316984,109742647.924899,2970129508.00612,,null
North America,º North America,1997,EFConsTotGHA,19907722.057573,2210535831.61821,299580737.618363,41604683.2471417,391826158.291236,111186378.517536,3074641511.35006,,null
North America,º North America,1998,EFConsTotGHA,20634431.8285184,2232665353.24104,314205622.754505,43316120.7413522,394515738.866677,112735802.562741,3118073069.99484,,null
North America,º North America,1999,EFConsTotGHA,20774718.4791201,2211893778.78374,310740046.538389,42975887.9549264,410250489.361989,112759811.539354,3109394732.65752,,null
North America,º North America,2000,EFConsTotGHA,21287133.0900322,2286878980.1898,302499612.384025,38852393.7843983,415519921.407605,113057589.27794,3178095630.1338,,null
North America,º North America,2001,EFConsTotGHA,20353054.5066117,2286398016.42643,278080617.329426,39559395.4113503,397565823.315892,115671534.741361,3137628441.73107,,null
North America,º North America,2002,EFConsTotGHA,19700024.7610731,2259771577.61275,258759168.307891,39120608.2128267,403727412.335887,117411025.327524,3098489816.55796,,null
North America,º North America,2003,EFConsTotGHA,21449712.1211228,2310239104.07374,302103184.064435,41445005.6072851,393918623.197363,113884191.291779,3183039820.35573,,null
North America,º North America,2004,EFConsTotGHA,24227955.8582443,2374996308.82308,349869812.389104,42394936.3919225,427153409.765832,123439542.459886,3342081965.68807,,null
North America,º North America,2005,EFConsTotGHA,23688027.9477971,2423274762.84982,338597569.66184,42838119.0801491,427909508.039125,122681378.347255,3378989365.92598,,null
North America,º North America,2006,EFConsTotGHA,23358910.6868997,2415456180.39116,299259705.020722,42191481.535757,405035049.630495,119722209.160877,3305023536.42592,,null
North America,º North America,2007,EFConsTotGHA,24043391.9362864,2422796996.37299,312864055.833084,40594442.6973608,361066154.240098,118535583.764042,3279900624.84386,,null
North America,º North America,2008,EFConsTotGHA,25504527.5763947,2322873446.61569,336051228.235151,40003890.2570206,305341002.774975,112734446.098415,3142508541.55764,,null
North America,º North America,2009,EFConsTotGHA,27404429.1704795,2112306154.47768,356835129.503915,39370094.6407745,253580740.929796,113899590.163396,2903396138.88604,,null
North America,º North America,2010,EFConsTotGHA,26813924.3708355,2249878671.79245,319371735.926822,42308439.1548312,295939113.13422,109455428.781771,3043767313.16092,,null
North America,º North America,2011,EFConsTotGHA,25563189.3225087,2186292225.80285,300335307.698584,43329374.1324019,297502579.296734,105173475.96383,2958196152.21691,,null
North America,º North America,2012,EFConsTotGHA,25768335.351521,2087835373.53125,317162188.371706,43000005.4598989,294891630.718432,108956082.308567,2877613615.74138,,null
North America,º North America,2013,EFConsTotGHA,28431885.9335015,2115598411.61125,367807362.596721,47468379.6495118,299798023.842166,107275262.846475,2966379326.47963,,null
North America,º North America,2014,EFConsTotGHA,28880790.9102084,2100295200.43706,370127931.660106,48077549.1789408,304611049.874229,107004962.129368,2958997484.18991,,null
