Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
South America,· South America,1961,BiocapTotGHA,5902711.77778922,0,75153263.0202063,138493420.417555,2127330009.01872,332730313.424059,2679609717.65833,,null
South America,· South America,1962,BiocapTotGHA,6058017.03915574,0,77346147.1236837,138169285.775339,2121989673.20898,336068072.333502,2679631195.48066,,null
South America,· South America,1963,BiocapTotGHA,6061216.47014449,0,82166812.241717,137702129.031984,2113673176.25059,338355453.215719,2677958787.21016,,null
South America,· South America,1964,BiocapTotGHA,6153311.32642211,0,84790150.1952625,137406057.973686,2106876613.78772,340957400.64056,2676183533.92364,,null
South America,· South America,1965,BiocapTotGHA,6553691.27324088,0,85019198.1818813,136915792.419841,2102749004.85774,343761607.451201,2674999294.1839,,null
South America,· South America,1966,BiocapTotGHA,6604348.36541784,0,86441530.1932664,136869308.875578,2100232626.99317,346381982.409058,2676529796.83649,,null
South America,· South America,1967,BiocapTotGHA,7090926.82338554,0,93239633.0509319,136470643.454774,2093966004.98247,347993627.544485,2678760835.85605,,null
South America,· South America,1968,BiocapTotGHA,6885889.13907073,0,89950256.2831511,136201298.739844,2082025775.50822,350215791.624826,2665279011.29511,,null
South America,· South America,1969,BiocapTotGHA,7146473.59990738,0,94575383.2498595,135252049.41135,2072037415.70493,354705853.953592,2663717175.91964,,null
South America,· South America,1970,BiocapTotGHA,7523364.67875707,0,100396661.224432,135532579.160639,2063475893.32566,355380844.232034,2662309342.62153,,null
South America,· South America,1971,BiocapTotGHA,7972585.83769303,0,107446999.066386,135322304.097383,2052500021.80526,360512444.899212,2663754355.70594,,null
South America,· South America,1972,BiocapTotGHA,7797262.151084,0,103763373.149205,135786872.921824,2046039689.81718,364654399.822735,2658041597.86203,,null
South America,· South America,1973,BiocapTotGHA,8014793.62659165,0,107255642.11638,134955379.257815,2041995855.5303,364844135.120638,2657065805.65173,,null
South America,· South America,1974,BiocapTotGHA,8627879.91441713,0,115541538.78931,135416068.585479,2031746199.68209,369128284.373517,2660459971.34482,,null
