Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
South America,· South America,1961,EFConsTotGHA,5902711.77778922,51699810.719395,64994251.120259,12803107.581303,65278002.3946884,174693388.921389,375371272.514824,,null
South America,· South America,1962,EFConsTotGHA,6058017.03915574,56513066.574957,63510882.2312547,14920511.6308047,66034959.7870038,169740243.835086,376777681.098261,,null
South America,· South America,1963,EFConsTotGHA,6061216.47014449,57873316.4225845,69359605.0691709,15347268.0454476,64750007.0019767,164094704.121947,377486117.131271,,null
South America,· South America,1964,EFConsTotGHA,6153311.32642211,57343581.5974583,69916756.1344327,16750834.6616834,66333416.3365811,172802839.607396,389300739.663974,,null
South America,· South America,1965,EFConsTotGHA,6553691.27324088,64720284.2688137,66991394.1817783,15066999.382048,67610621.9235782,180706655.206233,401649646.235692,,null
South America,· South America,1966,EFConsTotGHA,6604348.36541784,68934087.9304899,69016111.9391265,17357678.8726196,67551034.1681273,184170292.846229,413633554.122009,,null
South America,· South America,1967,EFConsTotGHA,7090926.82338554,72299860.5929912,79898714.3358498,17935881.9065402,68975924.8189814,189878756.59232,436080065.070067,,null
South America,· South America,1968,EFConsTotGHA,6885889.13907073,81247888.6714757,76314960.3253805,17047211.5446674,72253680.856712,191398807.842844,445148438.38015,,null
South America,· South America,1969,EFConsTotGHA,7146473.59990738,89695662.8121542,77614624.1465416,16904596.2443704,73209681.9175443,184528911.029758,449099949.750275,,null
South America,· South America,1970,EFConsTotGHA,7523364.67875707,100441605.744115,78586905.1655344,20069658.5344256,75704787.0442064,191002133.984809,473328455.151847,,null
South America,· South America,1971,EFConsTotGHA,7972585.83769303,104606909.759147,88503363.0942198,20266292.8941063,77776207.9639695,202499728.507986,501625088.057122,,null
South America,· South America,1972,EFConsTotGHA,7797262.151084,111645732.46838,88151526.4559055,14843671.9993227,77973106.7258175,209420624.603642,509831924.404151,,null
South America,· South America,1973,EFConsTotGHA,8014793.62659165,126229365.84774,86889297.3823633,15509385.528761,77442901.3585521,218402252.318003,532487996.06201,,null
South America,· South America,1974,EFConsTotGHA,8627879.91441713,138732411.214748,96805866.9291856,16018858.9610145,80240665.4724035,240895572.639831,581321255.1316,,null
